MessageID,MessageType,MessageBody,Timestamp
"500","sent","it was a sign error in one of my matrix calculations, everything works now!","1365563086"
"395","sent","You can use execvp","1361235288"
"174","sent","hey, i haven't made a group yet","1353884413"
"523","sent","I'm definitely coming back here and staying, this place is too perfect","1375578739"
"259","sent","nope","1354154404"
"501","sent","thanks for your help, jordan :)","1365563105"
"416","sent","thank you. i wanted to get some sleep before an interview, i was up all night cranking out this mp","1362100186"
"95","sent","hmm","1351663310"
"281","sent","Navigate with the file explorer, or unix commands","1354422597"
"457","recieved","ok, scratch that 1 more time. my final answer is x=(row#-1)*50, assuming that your first value in b was using x=0, not x=1/5-","1364614149"
"396","sent","You have to generate an array using strtok to parse the command","1361235310"
"138","recieved","just to make sure, your tree for TestDeceptiveMines has root node (51, 35) right? ","1352871003"
"175","sent","you wanna tagteam it? :)","1353884420"
"355","sent","haha, it took me a long time too","1360549328"
"96","sent","yeah, i haven't sent mine either","1351663342"
"260","sent","i'm finishing my classifier in R lol","1354154410"
"502","recieved","no prob","1365563113"
"524","sent","H.o ill send you my sched","1375578749"
"333","sent","i'm just writing down answers to the practice questions","1355455111"
"458","recieved","50*","1364614153"
"417","recieved","hey man, I really didn't want to have to bother you today, but how did you manage to get the input? I'm pretty sure the rest of my code is ok, though.","1362167585"
"356","sent","so right now, my malloc passes all the testers...","1360549336"
"261","recieved","ah haha ok","1354154418"
"397","recieved","oh ok. thanks. the code i had looked at made it appear that there was a function to do that for you, but it probably wasn't from a standard library","1361235438"
"334","sent","good old forsyth makes it nice","1355455115"
"97","sent","i came accross the ttest2 function completely by chance, but here's the description","1351663360"
"282","recieved","wait, so the file array is automatically the contents of the active directory or you assigned it to be?","1354422970"
"525","sent","","1375578872"
"176","recieved","sounds good to me","1353884433"
"503","recieved","hey, how's 373 going?","1365716001"
"139","recieved","also, sorry for buggin you since ur tryin to finish too. i'm gonna make sure this is my last question","1352871026"
"459","sent","oh, i get it","1364614330"
"52","recieved","hey, how's hw0 goin for u?","1346301678"
"418","sent","My input is messed up for large ib puts","1362167691"
"335","recieved","hows the material look? I havent checked it out yet. problems look moderately straight forward?","1355455182"
"283","recieved","we're pulling from 4 different directories, so that could be a problem","1354422987"
"33","recieved","ok, thanks man. ","1336963821"
"357","sent","i'll chekc it for runtime now","1360549340"
"140","sent","yup, that's the right root","1352871059"
"292","recieved","... thought it was a native function. never actually downloaded it, so the problem wasnt that it was not defined for the specific input, it's that it wasnt defined at all. thanks!","1354423998"
"54","sent","its tedious","1346301708"
"526","recieved","Nice! I've got 412 and 473 too. Will send a pic of my schedule in a sec. Good luck with 421 and 473 in the same semester. and wow, it was really that nice out there? Looks like I'm gonna need to put forth a lot more effort to get out there next summer. Good to hear you enjoyed it so much! ","1375662956"
"336","sent","yeah, they pretty much are","1355455198"
"53","sent","workin on it now lol","1346301704"
"504","sent","it's ... going lol","1365732054"
"398","sent","Yeah, it's really simple to do but easy to mess upI'll be at siebel later if you can't get it","1361235601"
"141","sent","and no, you're not buggin me","1352871063"
"98","sent","http://www.mathworks.com/help/stats/ttest2.html","1351663371"
"419","sent","Going to sirbel soon","1362167698"
"358","recieved","congrats man!","1360549387"
"177","sent","haha, awesome","1353884447"
"293","sent","Haha, np! ","1354424082"
"399","recieved","ok, thanks. i'm pretty sure i've got it from here, but i'll let u know if not","1361235631"
"460","sent","but would it be ","1364614334"
"527","recieved","Also have ANTH 101 at 8 am, but don't plan to ever have to go to that. Will drop one of the classes a few weeks in, almost certainly MATH 484.","1375663134"
"32","sent","i think cargo shorts will be fine, since its the frist day i'm gonna wear a nice shirt and some jeans","1336963772"
"505","sent","i only have to do 8.2","1365732058"
"35","sent","hey jordan it's going well, I just got back from a camping trip","1345435416"
"178","sent","alright, i have to get moving","1353884451"
"262","recieved","i'm waiting for mine to be tested again. I really wish he would have just sent me the images","1354154449"
"337","sent","some of the stuff, like poisson is very crudely explained though","1355455218"
"359","sent","haha thanks.","1360549504"
"34","recieved","hey! how's summer goin for ya? ","1345435388"
"294","sent","https://piazza.com/class#fall2012/cs398/1074","1354929750"
"99","recieved","and you used this on the first one?","1351663494"
"284","sent","It has to be the active directory","1354423011"
"461","sent","x=(row#-1)*50","1364614338"
"400","sent","Kk","1361235688"
"285","recieved","fuck","1354423018"
"528","recieved","hey, you wouldn't happen to have only 2 people in your 473 hw group, would you?","1381786602"
"56","recieved","not to mention i have absolutely no clue what to do for the last section. i mean i get that we need to give the runtime, but i dont know what they want for all the other stuff","1346301832"
"420","recieved","damn. ok, I'll probably see you there sometime today. I'm giving it another 45 min or so here and then if i still dont get it I was gonna go ask a ta","1362167737"
"506","recieved","that's the one I'm doing too","1365732075"
"338","recieved","Dude! 90 on spimbot!","1356322924"
"421","recieved","did you end up finishing?","1362182999"
"360","sent","here's another thing i didnt know -","1360549515"
"179","sent","i need to ask a TA something about the 398 lab, but i'll ttyl","1353884465"
"462","sent","or","1364614340"
"100","sent","i used that on the third one","1351663571"
"286","sent","Just make four arrays and concatenate them","1354423023"
"529","sent","I do actually! Are you still looking for a group?","1381804034"
"295","sent","https://piazza.com/class#fall2012/cs398/1435","1354929761"
"339","sent","what!?!? NICE!","1356322936"
