MessageID,MessageType,MessageBody,Timestamp
"2041","sent","and now she has to go write a paper :(","1336285800"
"1213","recieved","id feel bad if something happened tho","1328512328"
"1808","recieved","this exams gonna be eezy breezy i think","1331619159"
"2810","sent","Bay area","1373428793"
"1659","sent","man, i hate people who study too much","1330152622"
"830","sent","lol","1324003861"
"2317","recieved","haha we'll see","1343188004"
"937","sent","lol","1325545891"
"2063","recieved","sup man","1337561524"
"2064","sent","yo wassup wassup","1337561763"
"2622","recieved","i'm out. peace.","1360810896"
"1809","sent","for you maybe, i just finished reviewing complex math","1331619177"
"1467","recieved","well my drunkie ass is goin to bed","1329379928"
"2811","recieved","sup bro","1377836202"
"831","sent","im sorry","1324003866"
"1660","sent","they say that theyll have fun later in life, fuck that","1330152629"
"2318","recieved","but night man","1343188007"
"1468","recieved","pce","1329379929"
"938","sent","yo, i gotta roll, i got some food poisoining the other day","1325545915"
"2812","recieved","sup dood","1378169403"
"832","sent","its his birthday celebration","1324003877"
"2623","recieved","text me","1360810901"
"1661","sent","have fun all time kurwa","1330152633"
"2319","recieved","yo dude i haven't heard from you","1347593382"
"2065","sent","hows summer treatin ya?","1337561767"
"939","recieved","lol.","1325545923"
"2813","sent","Chillon mayne on that okaml :)","1378169510"
"1811","sent","by 4am ill have it all down","1331619194"
"1810","sent","im beasting it though","1331619182"
"2624","sent","peace, good luck with goldman!","1360811325"
"1469","sent","fshoo peace gl","1329379936"
"1662","recieved","idk shes a good girl man","1330152643"
"833","recieved","its cool","1324003884"
"2320","sent","yeah man, i've been swamped","1347593483"
"2066","recieved","haha great man","1337561772"
"2625","recieved","this hotel is off the hook haha","1360818954"
"940","sent","let me know how that baking turns out!","1325545925"
"2814","recieved","okaml?","1378169533"
"2067","recieved","how ya been?","1337561778"
"1812","recieved","good stuff","1331619205"
"834","sent","if the semester wasnt ending, we'd be drinking for 3 weeks","1324003890"
"2321","sent","CS is treating me well, I have a serious facebook interview in october","1347593495"
"1470","recieved","thx","1329379962"
"1663","recieved","maybe i just need someone to ground me","1330152648"
"941","recieved","at least its not alcohol","1325545927"
"2626","sent","hahah fshooo","1360819925"
"2815","sent","Yup, they're using it I stead of haskl","1378169570"
"1813","recieved","im a monster at complex math","1331619210"
"2068","sent","man, lifes been awesome","1337561788"
"1471","recieved","did u do physics prelab?","1329416524"
"2322","sent","hows EE treatin you?","1347593500"
"835","sent","lol","1324003892"
"942","recieved","fosho. peace/","1325545930"
"2069","sent","state farms givin me that money money","1337561793"
"2816","recieved","goootcha","1378169585"
"1814","recieved","i tear it up","1331619212"
"1472","sent","and activity 2 of lab","1329416574"
"2627","recieved","it's such a joke haha","1360821268"
"836","recieved","i gotchu","1324003935"
"2323","recieved","it's good man i like it","1347593522"
"1664","recieved","i gotta run with this tennist hing","1330152652"
"943","sent","yeah, at least","1325545934"
"2817","sent","Yee","1378169623"
"2628","sent","lol","1360821307"
"1815","sent","i wish","1331619224"
"2324","recieved","just been stayin on top of my shit as much as i can","1347593530"
"1473","sent","come over","1329416576"
"2070","sent","im doing android development","1337561799"
"2629","sent","you think you gonna take an offer from them?","1360821314"
"944","sent","peaceeee","1325545937"
"837","recieved","ur in champaign??","1324700219"
"2818","sent","I impulse bought an ipad the other day, I'm thinking of returning it when the new one comes out","1378169654"
"1666","sent","like Vcc","1330152666"
"1816","recieved","if u need any tips on that hit me up tmrw","1331619295"
"2325","sent","i feel that","1347593541"
"2071","sent","and i'm working on switiching over to CS :D","1337561810"
"838","sent","how dude? christmas is tomorrow for us polskis","1324700248"
"1665","sent","you wanna get grounded","1330152664"
"1474","recieved","u at ur place?","1329416587"
"1667","sent","LOL trolled your ass","1330152701"
"945","recieved","well that was fun","1326477604"
"2819","recieved","is it with data?","1378169669"
"2326","sent","no drinking for me until facebook","1347593546"
"2630","sent","i know you got it in the bag lolz","1360821319"
"839","sent","im honestly starting to wish i was though, my parents are getting on my nerves","1324700262"
"946","sent","yeah i had a good time hahah","1326477832"
"1817","sent","oh, for sure","1331619347"
"2072","recieved","haha forsure man","1337561829"
"2820","sent","Naw","1378169797"
"2631","recieved","haha idk","1360821327"
"2327","sent","lool","1347593553"
"947","sent","a repeat will definitely be in order","1326477838"
"1818","sent","ill be pounding this shit all day","1331619356"
"2632","recieved","probably not if i get a more ECE offer","1360821334"
"1476","recieved","k be there soon/","1329416678"
"840","sent","how is it over there?","1324700266"
"2821","sent","I have 14 days starting tomo hmm","1378169811"
"1669","recieved","hahahaha that was funny tho","1330152722"
"2328","recieved","haha nice man","1347593558"
"2074","sent","im in champaign, i havnt even gone home","1337561846"
"948","sent","my waters working, now my heat keeps going out","1326477849"
"2073","recieved","where you at this summer?","1337561832"
