MessageID,MessageType,MessageBody,Timestamp
"1264","sent","specifically, i have no clue lolz","1336511913"
"903","sent","if daft punk comes in picking up 10 tix, this is gonna sell out","1328764322"
"1480","sent","maybe $","1349157643"
"375","sent","ill ask prezes's bitch ass if he'd let voygraphics be on it","1320820563"
"1600","sent","Lool","1355166006"
"543","recieved","nice","1323666153"
"1816","sent","click gatekrashers","1366151481"
"1384","sent","thats why i love you <3","1347600055"
"999","sent","flow remeind me of asap rocky purple swag","1329944913"
"1744","sent","i just told him the dimensions","1359689319"
"1263","sent","im working for state farm in their research and development sector","1336511907"
"902","recieved","ill probably attend\","1328764303"
"1479","sent","maybe not $$","1349157638"
"374","sent","lmao","1320820551"
"1599","sent","Or imma flip it on craigs","1355165998"
"542","sent","etc","1323666138"
"1743","sent","he had his own guy workin already","1359689304"
"1383","recieved","i dont have time tomorrow","1347600052"
"998","recieved","it was","1329944769"
"1815","sent","https://www.facebook.com/questions/512460952135549/","1366151477"
"1262","recieved","damn not bad at all what u gonna be doin","1336511891"
"901","recieved","old news","1328764297"
"1478","recieved","how much is big $$","1349157632"
"373","recieved","yea i dont want people thinking that i open up illustrator and im done with  a vector in 5 minutes","1320820539"
"1598","recieved","then get a thunderbolt display","1355165994"
"541","sent","midi","1323666138"
"1814","sent",":D","1364164431"
"1382","recieved","im not changing shit","1347600047"
"997","sent","i bet it was your iphone 4","1329944755"
"1886","sent","Or hit up glitch mob and be a bitch","1377113220"
"1742","sent","nigguh what","1359689298"
"1261","sent","$18 an hour full time nigguhhhhhhhhhh","1336511881"
"900","sent","http://www.livemusicblog.com/2012/02/06/rumor-spring-awakening-festival-skrillex-daft-punk-more-soldier-field-in-june/","1328764264"
"1477","sent","you think you can get it done this week? i gave him your email","1349157624"
"372","sent","yeah i feel you, dont worry we still cool","1320820511"
"1597","sent","But first apple cares gotta fix that shit","1355165987"
"540","sent","dealing with processors and hardware","1323666136"
"1813","recieved","cool","1364164425"
"1381","sent","fsho finish up tomo","1347600042"
"996","recieved","pic taken with a iphone 4","1329944724"
"1885","sent","I like ""talk to me""","1377113196"
"1741","recieved","i see how it is","1359689296"
"1260","recieved","good shit","1336511879"
"899","sent","straight swag","1328682830"
"1476","sent","my buddy is payin big $$ for event promo flyers","1349157617"
"371","recieved","theyre technically being paid for","1320820506"
"1596","sent","yee exactly","1355165975"
"539","sent","i do low level shit bro","1323666131"
"1740","recieved","u fucking traitor","1359689293"
"1380","recieved","no time for anything","1347600037"
"995","recieved","pop","1329944710"
"1884","sent","Anything by feed me","1377113188"
"1812","sent","https://sphotos-a.xx.fbcdn.net/hphotos-ash4/269224_10152702284770253_1071342029_n.jpg","1364164405"
"1259","sent","gotta stay in fuckin champaign the whole time","1336511872"
"898","recieved","niggga","1328678270"
"1475","sent","yo wojtus","1349157608"
"370","recieved","but youre getting 60 printed","1320820499"
"1595","recieved","and 16 ram","1355165964"
"538","recieved","-________-","1323666123"
"1739","recieved","damn u went to him and not me","1359689289"
"1379","recieved","2 jobs and school","1347600034"
"994","sent","imma bust out some headphones","1329944689"
"1883","recieved","go","1377112840"
"1811","sent","i decided to recycle","1364164404"
"1258","recieved","no","1336511858"
"897","recieved","http://youtu.be/mQJXVjVmMoM","1328678268"
"1474","sent","lool okay","1347943493"
"369","recieved","im not trying to be a dbag, if the design was for you i have no problem making it","1320820492"
"1594","recieved","drop a ssd in it","1355165959"
"537","sent","i already know it thats the fucked up part","1323666107"
"1738","recieved","just making points in an organized way","1359689281"
"1378","recieved","im going to sleep homie","1347600030"
"993","sent","kurwa cover looks so good tho","1329944686"
"1882","recieved","need a cool mellow dubstep track to use in a video","1377112839"
"1810","recieved","mhm","1363650614"
"1257","sent","i tell you im not gonna be in chi for summer?","1336511849"
"896","recieved","http://www.youtube.com/watch?v=mQJXVjVmMoM","1328678003"
"1473","recieved","illinivagina","1347943480"
"368","sent","but i just do events","1320820424"
"1593","sent","So barely used","1355165933"
"536","recieved","thats fucked up i hope you don't have to learn code thats made up of all 0 and 1's","1323666070"
"1809","sent","or i'll get some ratchet polak on it","1363650582"
"1377","sent","if anything make uofizagloba.com bigger","1347600012"
"992","sent","i cant listen to track im all up in some circuit hw","1329944502"
"1881","recieved","bitch to cie zrobila","1377102372"
"1737","sent","still waiting for my icons","1359689280"
"1256","recieved","not bad","1336511652"
"895","recieved","whatever","1328591596"
"1472","sent","or illini hotel?","1347943467"
"367","sent","man, if i ran the club id be all for it","1320820420"
"1592","sent","Maxed out only 8 cycle counts","1355165905"
"535","recieved","lmao","1323666044"
"1736","sent","their designer drags like a bitch though","1359689276"
"1376","sent","links to there and shit","1347600000"
"991","sent","on the cover art that is","1329944490"
"1880","sent","see you at prydz bitch","1377102249"
"1808","sent","if you gonna do it lemme know tho i need to have somehting ready by end of spring break","1363650571"
"1255","sent","really, the best shit i've heard in a while","1336511648"
"894","sent","half of facebooks employees will become millionaires","1328591561"
"1471","sent","illini tower?","1347943462"
"366","recieved","handle and smoking dont pay bills","1320820400"
"1591","sent","No I got an early 2012 15""","1355165891"
"534","sent","0101 110 110 1 00000 0101 001 001 1 00000 0101 010 010 1 00000 1110 011 000101110   0001 100 100 1 01100 ","1323665996"
"1735","sent","kurwa numbers and shit alkjefiwajaowfj","1359689264"
"1375","sent","naw we're gonna do everything via the website","1347599996"
"990","sent","getting better","1329944466"
"1879","sent","i met the nigga that designed chatheads yesterday i love that shit","1374123599"
"1807","sent","i told u i'm quitin pl club","1363650549"
"1254","sent","kurwa hardkor","1336511631"
"893","sent","shit is going public, facebook employees are gonna see a 12,000% return on thier shares","1328591537"
"1470","recieved","im probably crashing at hoes place at illini","1347943441"
"365","sent","next time you come out ill buy you a handle and smoke w/ you","1320820384"
"1590","recieved","13incher for 1099","1355165863"
"533","sent","you know what ive been staring at for the last hour? code that looks like this","1323665995"
"1734","recieved","?","1359689259"
