date,type,color,freq
2012-01-06,total,75.3416167549465,1610
2012-01-09,total,75.5233486255394,621
2012-01-14,total,71.41327557778206,934
2012-02-04,total,71.73333272298177,375
2012-02-06,total,69.90291736195388,309
2012-02-14,total,73.2484130859375,5
2012-02-15,total,69.76744186046511,774
2012-02-16,total,83.05084694038003,59
2012-02-17,total,81.096681867327,21
2012-02-18,total,79.31034364371465,116
2012-02-21,total,75.64102172851562,7
2012-02-25,total,67.92452779805885,53
2012-02-28,total,80.70175425211589,18
2012-02-29,total,76.31578826904297,2
2012-03-01,total,76.63551558735215,107
2012-03-02,total,77.14285714285714,35
2012-03-03,total,70.52631659256784,95
2012-03-05,total,71.79487189268454,39
2012-03-17,total,71.21951383265053,205
2012-03-20,total,82.13700018988715,27
2012-03-21,total,73.35907260791674,518
2012-04-05,total,74.12140404454436,313
2012-04-07,total,84.99999542236328,40
2012-04-08,total,74.45054626464844,26
2012-04-09,total,83.63636495416814,110
2012-04-10,total,75.11961722488039,418
2012-04-11,total,76.51515267112038,132
2012-04-13,total,70.42253435161751,71
2012-04-25,total,58.06451416015625,1
2012-05-08,total,76.31578987523129,76
2012-05-20,total,60.431651931872466,139
2012-05-21,total,63.013694763183594,6
2012-05-26,total,74.35897136869885,273
2012-05-29,total,75.18684648362688,669
2012-06-04,total,74.99999673025948,84
2012-06-17,total,74.35897377209785,39
2012-06-18,total,73.00885033396493,226
2012-06-25,total,79.49912441478057,17
2012-06-28,total,80.72606964111328,5
2012-07-03,total,80.0,10
2012-07-04,total,61.0759506708459,316
2012-07-08,total,68.05555555555556,72
2012-07-09,total,69.58333333333333,9
2012-07-16,total,77.77778116861978,63
2012-07-18,total,66.66667175292969,102
2012-07-19,total,66.66667175292969,3
2012-07-21,total,71.42857111068,84
2012-07-23,total,69.33333740234374,15
2012-08-27,total,74.32950171108904,261
2012-08-28,total,80.76922900860126,26
2012-08-29,total,72.27533937822565,523
2012-09-02,total,77.55101962965361,49
2012-09-03,total,73.9130458417146,92
2012-09-04,total,34.57106468894265,11
2012-09-06,total,78.94736681486431,38
2012-09-08,total,75.43859481811523,342
2012-09-16,total,71.71717406764175,99
2012-09-17,total,62.96296140882704,27
2012-09-24,total,68.82715884550117,324
2012-09-29,total,72.98387053705031,248
2012-09-30,total,78.72340425531915,94
2012-10-01,total,62.22222646077474,45
2012-10-02,total,81.73912904158882,115
2012-10-03,total,72.8033475676341,239
2012-10-04,total,81.81818389892578,11
2012-10-07,total,70.76923159085787,65
2012-10-13,total,72.44897857977419,98
2012-10-14,total,78.03030438856646,264
2012-10-18,total,73.56321882927554,261
2012-10-20,total,77.41935459260017,93
2012-10-21,total,78.8194428284963,288
2012-10-22,total,69.23076981764572,65
2012-10-23,total,84.079599598747,201
2012-10-25,total,83.29104294315462,31
2012-10-26,total,77.41935769357988,155
2012-10-27,total,75.55555572509766,45
2012-10-30,total,78.0120505827019,332
2012-11-12,total,76.66667056613498,270
2012-11-13,total,72.99035124456768,311
2012-11-15,total,71.92982656913891,57
2012-11-16,total,71.42857360839844,2
2012-11-20,total,71.42857360839844,7
2012-11-21,total,62.12121136983236,66
2012-11-22,total,65.66820430755615,28
2012-11-23,total,73.43749713897705,64
2012-11-24,total,73.00275458974286,363
2012-11-25,total,73.14814758300781,7
2012-11-26,total,70.54794666865101,146
2012-11-28,total,93.86169863969852,39
2012-11-29,total,74.99999666213989,160
2012-11-30,total,49.489797592163086,14
2012-12-02,total,76.38604067385319,487
2012-12-03,total,75.10729397622302,233
2012-12-04,total,75.88235321044922,170
2012-12-06,total,58.49056790909677,53
2012-12-07,total,66.95652147376019,115
2012-12-10,total,66.66666652538157,108
2012-12-13,total,71.05263037430612,38
2012-12-15,total,77.51196128443668,38
2012-12-17,total,56.06060536702474,18
2012-12-18,total,68.18181610107422,1
2012-12-24,total,33.68983930699966,17
2012-12-29,total,67.39130185998005,92
2013-01-03,total,67.2348461151123,10
2013-01-04,total,61.7647050969741,34
2013-01-05,total,70.66115812821822,242
2013-01-06,total,73.01587604341053,63
2013-01-07,total,67.70833293596903,96
2013-01-08,total,69.86301343734951,146
2013-01-09,total,65.57376861572266,1
2013-01-14,total,72.09302272353062,43
2013-01-15,total,63.88888804117838,36
2013-01-18,total,68.29268195919875,410
2013-01-19,total,64.42307831690862,104
2013-01-20,total,68.23104657334972,277
2013-01-21,total,60.273974483960295,73
2013-01-22,total,66.66666828502308,33
2013-01-23,total,71.1111100020232,540
2013-01-24,total,71.42857033865792,70
2013-01-25,total,78.26087155549422,69
2013-01-26,total,67.16417864899137,67
2013-01-27,total,70.67901194537127,324
2013-01-28,total,73.49397581169404,249
2013-01-29,total,69.56521705959153,69
2013-01-31,total,76.87075068674932,147
2013-02-01,total,72.63158163773386,380
2013-02-02,total,81.69014105998295,142
2013-02-03,total,71.28712848625561,404
2013-02-05,total,67.29857592108125,211
2013-02-06,total,68.75000055631001,144
2013-02-08,total,74.28571428571428,35
2013-02-10,total,77.46835499051251,395
2013-02-11,total,74.20212676677298,752
2013-02-13,total,64.56606094925492,27
2013-02-14,total,74.78510207911276,349
2013-02-15,total,68.51851692906132,108
2013-02-16,total,59.79381305655254,97
2013-02-17,total,73.08781941011337,353
2013-02-18,total,67.27272588556463,165
2013-02-19,total,68.88889058430989,225
2013-02-20,total,69.90291188064131,103
2013-02-21,total,79.26136456836355,352
2013-02-24,total,61.29032218686996,155
2013-02-25,total,71.55025224831888,587
2013-02-26,total,65.85365830398187,82
2013-02-27,total,63.6363639831543,1
2013-02-28,total,65.82278432725352,79
2013-03-02,total,66.66666689786044,165
2013-03-03,total,76.47058868408203,4
2013-03-05,total,62.990196228027344,3
2013-03-07,total,60.88561141798857,271
2013-03-09,total,64.28571401323592,42
2013-03-10,total,77.53622989378114,138
2013-03-12,total,69.09090527621183,55
2013-03-13,total,32.786886621694094,61
2013-03-15,total,73.79678842473157,187
2013-03-22,total,73.72881265413963,354
2013-03-23,total,77.56097508872428,205
2013-03-24,total,74.6666678873698,75
2013-03-25,total,73.4567908063347,162
2013-03-26,total,74.0740737915039,108
2013-03-27,total,78.18182178844106,55
2013-03-28,total,66.66666822291133,201
2013-03-29,total,58.71849060058594,24
2013-03-30,total,75.75757425481623,132
2013-04-01,total,66.34522875617532,17
2013-04-02,total,74.5833324432373,240
2013-04-03,total,71.6157198576948,687
2013-04-04,total,71.6510945970767,963
2013-04-05,total,68.27586175326644,290
2013-04-06,total,66.2721871821838,169
2013-04-07,total,71.76870582217262,294
2013-04-09,total,69.87179565429688,312
2013-04-10,total,73.09941752472817,342
2013-04-11,total,73.02631578947367,304
2013-04-12,total,70.89552221725236,134
2013-04-16,total,73.66412384819438,1048
2013-04-17,total,72.13114786148071,976
2013-04-18,total,56.730769891005295,208
2013-04-21,total,54.545455007842094,33
2013-04-22,total,63.75838972258088,149
2013-04-23,total,73.18952470494345,649
2013-04-24,total,71.45358991205379,571
2013-04-25,total,75.76791777627054,293
2013-04-26,total,67.79660881171793,59
