date,sent_formality,sent_freq,rec_formality,rec_freq
2009-01-10,0.0,1,0.0,0
2009-04-22,68.75,16,0.0,7
2009-04-27,69.23077392578125,13,81.0810775756836,37
2009-06-05,76.92308044433594,13,81.0810775756836,0
2009-06-06,89.79591369628906,49,81.0810775756836,1
2009-06-07,70.0,10,81.0810775756836,6
2009-06-08,75.0,24,66.66667175292969,12
2009-06-15,69.52381134033203,105,65.90909576416016,44
2009-07-14,69.52381134033203,1,65.90909576416016,0
2009-08-18,55.769229888916016,52,65.90909576416016,4
2009-08-19,55.769229888916016,9,65.90909576416016,9
2009-09-16,45.45454788208008,11,65.90909576416016,0
2010-03-18,45.45454788208008,8,65.90909576416016,0
2010-04-14,45.45454788208008,8,65.90909576416016,0
2010-06-01,70.0,10,65.90909576416016,1
2010-06-25,70.0,1,65.90909576416016,0
2010-06-26,70.0,0,65.90909576416016,1
2010-07-18,70.0,1,65.90909576416016,0
2010-09-02,68.29268646240234,82,80.41236877441406,97
2010-09-28,70.0,10,55.88235092163086,34
2010-10-01,72.7272720336914,11,11.764705657958984,17
2010-10-08,79.16667175292969,24,58.82353210449219,34
2011-04-08,84.61538696289062,13,46.153846740722656,13
2011-05-21,84.61538696289062,0,57.142860412597656,14
2011-05-22,78.57142639160156,28,71.42857360839844,28
2011-06-04,78.57142639160156,5,71.42857360839844,0
2011-06-20,64.70588684082031,34,66.31578826904297,95
2011-06-22,64.70588684082031,6,46.42856979370117,28
2011-06-28,64.70588684082031,7,46.42856979370117,1
2011-07-06,64.70588684082031,2,46.42856979370117,0
2011-07-12,52.38095474243164,21,46.42856979370117,6
2011-07-25,68.8888931274414,90,66.07142639160156,56
2011-08-02,70.93022918701172,86,70.83332824707031,24
2011-08-15,67.88990783691406,109,74.19355010986328,124
2011-08-16,43.75,16,75.0,20
2011-09-07,62.57668685913086,163,77.77777862548828,18
2011-09-08,62.57668685913086,0,77.77777862548828,6
2011-09-09,64.70588684082031,238,74.62686157226562,67
2011-09-12,64.70588684082031,4,74.62686157226562,1
2011-09-21,56.0,25,56.25,32
2011-10-03,50.0,10,56.25,3
2011-10-05,69.23077392578125,13,56.25,9
2011-10-09,69.23077392578125,2,56.25,0
2011-10-20,74.4186019897461,43,74.4186019897461,43
2011-10-22,78.07017517089844,114,73.95832824707031,96
2011-11-09,71.20000457763672,250,75.5813980102539,172
2011-12-04,75.0,60,75.5813980102539,2
2011-12-06,75.0,5,75.5813980102539,8
2011-12-07,83.33332824707031,12,75.5813980102539,3
2011-12-10,83.33332824707031,8,75.5813980102539,3
2011-12-11,70.27379608154297,767,76.06177520751953,518
2011-12-17,70.27379608154297,1,76.06177520751953,0
2011-12-25,74.86911010742188,191,75.38461303710938,130
2012-01-18,71.92982482910156,57,72.41378784179688,58
2012-01-20,75.0,16,72.41378784179688,5
2012-01-24,65.11627960205078,86,54.761905670166016,42
2012-01-25,68.25396728515625,63,70.0,50
2012-01-31,68.25396728515625,7,70.0,1
2012-02-06,73.75690460205078,362,83.40425109863281,235
2012-02-07,73.75690460205078,0,83.40425109863281,3
2012-02-08,71.875,32,80.0,20
2012-02-14,71.875,7,90.0,10
2012-02-16,70.52023315429688,173,70.70706939697266,99
2012-02-20,67.24137878417969,58,74.28571319580078,35
2012-02-21,76.47058868408203,17,80.0,10
2012-02-22,69.11764526367188,68,78.94737243652344,19
2012-02-24,68.42105102539062,38,78.94737243652344,4
2012-02-29,72.15190124511719,79,67.64705657958984,34
2012-03-02,72.15190124511719,2,67.64705657958984,4
2012-03-05,72.15190124511719,8,67.64705657958984,0
2012-03-14,72.15190124511719,1,67.64705657958984,0
